,0.05,0.04,0.03,0.02,0.01
402,-8.5,54.25,9.75,-0.75,75.75
403,11.5,-5.25,7.0,2.5,6.5
404,-0.5,3.75,2.0,3.25,7.0
405,-3.25,1.0,-2.0,-2.0,0.25
406,2.75,4.75,0.75,6.25,0.25
407,3.25,7.5,2.0,3.25,2.0
408,1.5,4.0,6.5,-0.25,2.5
409,-3.25,0.25,4.75,6.0,3.25
410,10.75,1.0,-1.25,10.25,-0.25
411,6.75,8.75,6.25,3.5,-2.75
412,-8.5,-2.25,1.75,-6.5,2.0
413,-3.25,-4.25,-2.0,3.75,12.0
414,-3.0,2.0,-3.0,-5.25,-1.75
415,0.75,0.25,-1.0,6.0,3.5
416,-0.25,-3.5,2.5,-0.25,0.75
417,1.25,-3.75,-3.5,1.25,1.0
418,6.5,8.5,-0.25,3.0,-2.5
419,-11.0,-6.0,-4.5,-2.75,6.25
420,0.0,6.0,-4.0,-2.25,-0.75
421,6.25,-6.75,7.75,3.5,-7.0
422,1.5,0.75,0.5,1.75,3.0
423,-4.25,-1.0,6.75,4.75,2.5
424,-0.25,11.0,-4.25,-1.5,4.75
425,-2.25,1.75,8.75,2.75,4.5
426,5.25,0.25,12.5,-3.5,5.0
427,-3.0,-0.5,-2.0,-7.25,-5.25
428,3.75,6.75,2.0,20.5,-4.0
429,1.25,0.0,-2.25,-0.25,-5.75
430,-0.75,-0.75,-0.75,-0.25,4.25
431,2.0,-2.25,-5.75,0.75,4.25
432,6.25,2.75,-1.75,0.25,-3.25
433,4.25,6.0,-0.25,0.5,0.5
434,13.0,0.5,10.0,-0.25,-10.0
435,-9.0,-4.75,8.25,8.25,-6.75
436,6.25,10.75,3.5,2.25,-6.0
437,-2.75,-12.5,-11.25,6.0,-4.5
438,7.75,-14.25,1.25,-1.25,-2.0
439,-2.75,8.75,-7.75,1.0,-5.75
440,1.5,-3.25,-2.5,2.0,-2.0
441,0.25,5.75,-2.5,5.0,5.0
442,-5.75,0.75,-2.0,-6.25,-4.0
443,-4.25,0.0,3.0,4.5,-3.0
444,-3.75,-4.5,3.25,-8.5,3.25
445,-8.25,-1.5,-3.25,-1.5,-1.5
446,2.0,6.25,2.75,1.25,-2.25
447,-1.5,-1.0,-0.5,3.75,-6.5
448,-5.0,6.5,9.5,7.75,-4.75
449,-4.5,-2.5,-3.5,-2.25,2.75
450,1.0,-3.25,-0.25,11.75,-3.75
451,-2.5,6.0,8.25,0.75,-6.5
452,-2.0,1.75,4.5,-2.0,5.75
453,-3.75,7.75,-5.5,2.75,-2.25
454,-6.0,-2.5,-5.0,0.75,7.25
455,-6.25,10.5,-5.0,9.0,8.5
456,4.0,7.75,-8.25,-1.25,5.5
457,-2.0,0.25,2.5,2.25,-5.0
458,-1.0,-1.75,-2.25,10.0,8.0
459,5.75,0.0,2.0,5.25,-0.5
460,4.0,2.0,-7.75,9.0,4.0
461,-4.0,6.25,7.0,-3.0,4.5
462,-5.5,3.5,-3.5,1.5,5.75
463,-7.5,1.25,14.0,5.5,1.0
464,-2.0,-2.5,-1.0,0.5,2.25
465,3.25,6.5,-2.75,-4.0,2.0
466,1.5,-4.5,0.5,0.5,-2.0
467,8.5,-0.5,-9.25,5.75,-3.75
468,0.75,-4.5,-14.5,1.25,-3.25
469,-3.75,-2.75,2.75,0.75,7.25
470,1.75,3.0,-10.75,-9.5,0.25
471,3.0,-6.5,-15.25,0.25,0.0
472,-7.5,-2.75,-10.5,-10.5,-1.25
473,3.0,-3.0,0.75,3.25,-6.25
474,2.25,-0.75,11.75,3.75,0.5
475,0.0,7.0,-4.5,4.75,-6.75
476,3.75,7.25,1.25,1.5,-3.5
477,3.25,-3.0,1.25,7.25,-3.0
478,-5.5,-4.75,-4.5,1.25,4.25
479,6.5,-1.75,5.25,-0.5,4.0
480,71.75,7.25,10.0,-6.5,9.0
481,1.0,-5.5,2.25,3.75,-6.25
482,-0.5,15.75,6.0,-0.75,0.5
483,-0.75,3.25,5.0,-1.75,-6.0
484,0.75,2.25,-4.25,0.0,-0.75
485,0.5,5.5,18.0,3.5,6.0
486,0.75,5.75,-1.25,-2.75,-1.0
487,-2.75,4.25,5.0,0.0,3.25
488,-6.0,-6.5,-1.0,-0.75,3.5
489,-3.75,-7.0,-3.25,0.0,9.0
490,-1.0,12.75,8.75,-6.25,4.0
491,-1.0,-4.0,-6.25,3.25,-0.25
492,6.25,2.0,-0.25,2.75,-12.0
493,3.25,0.5,-12.5,4.5,5.75
494,-6.25,-2.75,-13.5,-4.5,6.25
495,3.5,-1.25,8.75,4.75,4.25
496,0.25,-6.0,-8.25,7.0,-6.5
497,7.0,1.0,-0.25,0.5,-10.0
498,-10.0,8.0,-2.0,7.0,-2.25
499,-0.25,3.5,2.0,-1.5,8.25
500,-1.75,-3.25,9.75,1.25,1.25
501,6.25,-8.75,7.25,5.75,-2.75
502,0.75,-0.5,4.25,-0.75,-4.25
503,-3.0,-0.25,2.25,-1.25,3.25
504,12.5,6.75,-1.25,-2.0,7.5
505,3.75,4.0,3.5,5.0,3.75
506,4.25,6.25,-0.25,-1.75,-3.75
507,8.5,4.0,-0.5,-3.5,3.0
508,-7.75,-3.0,-2.25,-3.75,0.75
509,-6.0,4.75,4.75,8.25,2.25
510,1.75,9.0,0.0,-1.5,-0.5
511,-1.0,-0.75,-3.0,-1.25,8.75
512,1.25,0.25,-3.5,13.25,-1.75
513,3.75,0.75,0.25,-4.25,-3.0
514,5.25,2.75,-7.0,-0.5,0.75
515,8.75,-1.25,-3.0,-7.25,-4.25
516,9.5,-5.75,5.0,-3.75,-1.5
517,8.75,-2.5,1.5,-0.25,3.5
518,6.0,10.25,1.0,4.25,-13.25
519,6.0,0.0,-2.0,-1.0,-1.75
520,-3.0,-0.75,-2.5,-1.75,-0.5
521,7.25,-1.75,-1.5,-5.25,-11.0
522,2.25,4.5,9.0,1.0,-2.5
523,4.25,-6.25,-11.75,4.5,-3.5
524,12.0,-2.75,4.0,-2.5,0.25
525,-0.25,5.5,1.25,-7.25,-8.0
526,-8.0,3.5,-3.0,4.5,-1.0
527,1.5,2.75,-0.25,2.5,12.5
528,3.0,-3.5,7.75,-6.75,-7.5
529,-1.25,-0.5,-2.5,9.0,3.0
530,-3.0,-10.0,3.75,5.25,-1.25
531,11.5,2.5,-1.5,-1.5,-4.0
532,-6.25,-4.25,-4.75,1.5,-2.5
533,11.25,-1.25,-6.75,-4.75,4.25
534,-5.5,1.75,1.0,0.25,8.0
535,0.5,-4.25,-4.0,3.0,-11.5
536,-4.5,-1.75,-0.25,-5.75,-2.75
537,-4.75,2.5,2.0,7.75,6.25
538,-4.5,-5.5,3.75,-1.5,3.5
539,3.0,-6.0,3.25,3.75,-4.25
540,-0.5,4.0,4.0,0.25,1.75
541,-5.75,6.0,3.25,6.25,-1.5
542,1.25,-0.75,-1.25,-4.75,4.75
543,4.25,5.25,4.5,4.25,1.5
544,-6.0,-1.25,-4.25,1.75,1.0
545,-1.75,2.75,-6.5,3.25,-0.25
546,-11.25,-1.0,-4.0,0.75,-4.25
547,18.0,3.25,1.25,12.5,-3.0
548,-4.25,1.0,4.75,6.25,5.5
549,10.0,2.75,6.75,-3.25,5.75
550,0.25,0.5,7.75,-2.75,6.25
551,-9.25,-4.5,-3.5,-3.0,-4.5
552,-4.5,5.25,9.25,-6.25,-4.25
553,-4.0,-4.0,-0.5,2.25,3.5
554,1.0,10.0,-4.5,-2.5,2.25
555,-1.0,4.5,9.0,-5.0,3.75
556,-9.5,3.75,-3.25,7.25,4.5
557,-0.5,-4.0,-2.75,-1.25,-0.75
558,1.0,1.0,5.0,-4.25,-2.0
559,-1.75,-0.75,-1.25,-0.75,5.0
560,-4.75,0.75,0.25,-4.25,74.5
561,-1.75,11.75,2.75,-6.25,5.75
562,5.0,9.75,-11.0,5.5,-1.5
563,3.0,8.0,-2.5,1.5,0.25
564,3.25,4.0,8.0,8.5,6.5
565,13.5,4.0,7.25,3.5,-7.5
566,-1.5,-1.75,-6.25,8.5,3.0
567,4.75,-5.25,0.25,0.75,-6.0
