,"(TS, TS, TS, TS)","(TS, TS, EF, EF)","(EF, EF, EF, EF)"
2071,-23.0463171,-35.05602291,37.23107792
2072,4.32852149,-1.358508589,29.83820917
2073,-5.06021496,-0.674225947,-31.08703682
2074,-8.642921731,24.97108926,-3.924587436
2075,27.94742424,15.74289926,48.78606674
2076,7.399642383,-4.732534125,-11.20309356
2077,34.28903252,15.97802439,22.8375691
2078,-47.43051705,47.58372612,-1.22373894
2079,9.40942426,46.36086225,17.26868878
2080,9.88622693,38.47684945,-23.06491574
2081,5.236502682,22.99418598,16.86179827
2082,2.510950485,-17.83639023,-3.957532898
2083,42.22176897,-13.1151429,3.769630453
2084,-27.97056594,20.71553852,9.946462089
2085,62.45096018,-3.582694598,-2.235144281
2086,16.68697591,13.46044937,18.50466027
2087,-28.94590734,-48.31811625,-65.99522454
2088,29.81446475,6.544638974,24.41254952
2089,40.07717318,-20.51526474,-16.58130946
2090,16.17292268,6.74277316,-37.87421683
2091,8.46730053,20.15598211,1.729514799
2092,71.80032546,27.55465178,23.07670835
2093,36.90822349,-3.818953018,-18.04626183
2094,-14.57462288,22.87368485,21.82763348
2095,31.44663504,-0.50552903,5.197271528
2096,-42.32206563,-15.80233141,23.52526679
2097,59.6985898,72.16949007,-6.236594168
2098,17.77509584,4.161272323,26.40921358
2099,38.87833305,-34.76008388,2.85790684
2100,-48.49317743,31.26943415,-14.84127152
2101,27.83558797,-6.805777216,-12.22851682
2102,33.26213316,65.9463463,58.78844046
2103,-32.32645362,14.63077153,-15.31460391
2104,44.09389424,72.78495183,268.163
2105,39.02072147,-10.49960523,-25.15000942
2106,7.882509952,6.508528793,-0.353259689
2107,12.55527158,35.00907268,26.86411654
2108,26.6763161,-1.592639471,22.86944939
2109,82.97952778,10.70543881,-17.93010781
2110,25.36940188,-26.15182413,-19.64833049
2111,12.34386034,-16.92166263,-16.39386511
2112,21.82851791,66.74611943,-26.44208171
2113,14.23305018,-39.76694982,428.9018999
2114,62.87622664,8.52047428,-0.893846044
2115,7.549161544,37.82819924,38.20070921
2116,-15.03653155,-3.390122118,2.527005432
2117,-64.00150947,87.89665354,62.84790495
2118,5.809306494,-30.71380404,11.53237731
2119,-23.99098152,20.68409734,32.33393961
2120,-1.622469747,70.6263183,39.41473696
2121,53.72356918,-1.131709029,15.76890922
2122,4.084185645,3.202505666,19.00569176
2123,24.28346237,20.15657972,21.73524063
2124,-29.69546144,7.2442416,4.036051979
2125,-23.54027663,-17.36873163,-30.28074135
2126,-8.789222234,4.137779154,-14.21675661
2127,-16.50275877,16.2404382,8.781256402
2128,52.17730774,5.711021218,-29.88726812
2129,19.91341,-12.13317165,18.04877913
2130,-37.03632028,25.27397924,-0.484559904
2131,-10.65108547,7.558344234,15.57637548
2132,38.2668337,23.13586941,-21.90248376
2133,26.86218813,28.60660158,-30.56378945
2134,19.40896745,-15.43508702,-0.553997537
2135,-3.505887857,-11.53862893,-16.3309583
2136,2.018483208,-18.80765972,1.696042762
2137,23.05116187,73.2829713,-1.188052525
2138,-13.79864806,7.465840026,-4.153767171
2139,17.72872142,-7.253409849,-17.45994558
2140,-32.53836982,4.019106818,9.612056837
2141,-15.76344242,-0.692573417,-10.94409876
2142,-44.92768311,15.85094347,6.231500154
2143,-9.87271917,-26.33730286,-1.48793693
2144,-22.54023109,-12.214722,28.22288272
2145,8.148881129,5.387702909,0.278242926
2146,0.209629292,-3.625819865,1253.180088
2147,19.06910966,-10.19069079,-3.529453299
2148,29.19344476,37.4119024,21.91529053
2149,32.30305141,9.299598004,-18.67132159
2150,40.34945993,-11.91265667,23.65229109
2151,22.67577516,9.417899599,1.854252986
2152,0.12456996,-0.202217945,9.318883959
2153,23.60435046,-11.54775973,202.4973753
2154,-20.42049662,16.84698097,10.57950338
2155,-5.870763355,-0.134062316,1.458360346
2156,21.15183464,21.15184977,26.52327705
2157,26.39676814,-24.66012299,55.69691498
2158,41.1690593,22.29929173,-25.77658023
2159,-36.02467146,45.62637859,44.237041
2160,37.69336495,-16.20874182,7.491559142
2161,7.507937962,4.675035918,2.59148694
2162,-11.27012236,16.79618224,-9.746449266
2163,20.05403661,-32.02931752,29.48902539
2164,-1.952767782,7.644425278,-9.952767782
2165,36.56572034,21.68364866,8.610142688
2166,5.109927956,15.24983701,-47.15957185
2167,43.06493482,-36.68700721,30.0876875
2168,20.29438277,1.071094145,9.459449833
2169,37.8769163,14.12931571,-12.79294957
2170,8.129315705,-4.977529799,7.847805521
2171,45.20211193,7.676093479,15.85182946
2172,11.2710765,-18.43810106,28.30816276
2173,-21.95253326,13.22960853,-23.13378512
2174,41.97621579,9.832052436,43.24168384
2175,-26.96710422,-5.95470611,-13.52599522
2176,15.92875069,-47.96795651,22.79992312
2177,4.868905964,50.1140431,-15.47583235
2178,2.30679212,38.94011883,31.90982182
2179,35.57040146,19.62586649,4.915658954
2180,-0.9574428,25.17864815,8.941304714
2181,-31.16045215,51.49526509,9.583448504
2182,5.880486658,-1.932116225,-11.78783797
2183,17.89592717,-8.664959101,-8.10407283
2184,8.518572008,-8.388650289,1.168015927
2185,23.2813501,12.27922834,-2.21667969
2186,-22.15090229,22.49956885,55.73244781
2187,-3.480264855,16.60796016,9.864249471
2188,37.61587473,29.73232258,23.20339938
2189,2.262000835,6.026462433,11.08544142
2190,1.686378706,7.153617277,-15.51018986
2191,18.20408176,21.20411331,-64.50179132
2192,-3.289464568,-16.8684464,-23.39390067
2193,45.8433203,-19.88334038,31.39182793
2194,42.74798172,-7.452307757,-0.010904665
2195,-11.54953733,-2.147134372,-5.810634239
2196,16.09890149,48.29445766,-2.848166479
2197,5.369178788,16.23611395,24.45788868
2198,-19.01527071,9.0553005,-4.318871645
2199,48.28677944,13.21930648,-7.352005589
2200,6.266715614,12.30221387,-16.78924511
2201,-21.60152259,-20.3626439,12.40870864
2202,-22.02254889,-3.525550337,8.74950917
2203,5.24513081,24.97166906,25.407592
2204,0.340236067,8.361378012,-26.41745478
2205,6.749402825,12.33593278,15.17439335
2206,42.21699458,5.240909428,17.83878071
2207,15.41138433,-15.15400369,-5.305921665
2208,28.56872016,27.93510161,17.80280581
2209,43.75350549,30.61757053,-9.094746545
2210,-16.06243878,25.05695133,-12.23408517
2211,-8.256165776,1.299011106,-31.75173823
2212,39.49695188,20.20071163,18.25762271
2213,-10.26447737,23.5288498,-2.954468129
2214,14.33523972,55.08168278,-2.742377289
2215,-28.79153875,-12.53798181,0.750508826
2216,-22.5017567,52.99695199,-17.11405431
2217,18.02096548,20.07894148,17.24004083
2218,16.02183488,15.51373907,29.73575165
2219,4.916689706,32.9687906,43.15325467
2220,-37.16042093,43.46809525,-15.82591268
2221,0.548948123,45.03387001,1.0226839
2222,-21.76835857,0.251774307,7.397507576
2223,-8.61734875,14.88986381,-10.11013619
2224,21.28299831,16.35247848,-7.97024865
2225,24.97910196,-26.09903676,9.356807755
2226,-18.3144533,20.38136882,40.53706468
2227,5.201099974,-18.77892733,25.28346372
2228,-3.47889953,-17.70386085,30.88502337
2229,44.20200624,14.43372911,-20.56449984
2230,10.76560993,20.46193058,21.56626751
2231,42.07972912,-4.150345068,-44.64173874
2232,10.7775183,-21.6794462,46.86691549
2233,34.38732502,46.1688221,-36.62236639
2234,40.59439193,-35.40902743,37.11661776
2235,-25.14476037,-1.328480596,-41.69222884
2236,9.251921539,-27.44992923,-7.003842411
2237,16.96816752,61.43908074,-0.593777056
2238,-17.36061055,15.89856448,13.27011399
2239,49.51254884,-2.56198847,35.0698731
2240,31.53716011,-7.880803536,-0.589785358
2241,3.985831369,-45.9795722,-13.18649149
2242,13.13770183,38.67605864,16.29757952
2243,-20.99289,-27.94902382,-0.532985586
2244,-34.96390957,51.46619305,-53.81875563
2245,-56.07037245,9.241973364,20.55431918
2246,24.50598775,25.41786833,1.241629496
2247,1.123898676,-31.30222941,-1.406426427
2248,34.5438905,16.01801249,16.38695888
2249,-8.875244068,-1.243552316,-32.26282439
2250,23.42039029,59.37179496,18.37179496
2251,6.495952754,-11.75459525,42.03294062
2252,21.80377141,-15.73979096,44.67231953
2253,12.16355877,-11.3092845,17.22563129
2254,-17.43256005,-37.21986173,-9.716157811
2255,-0.692524665,-31.17553459,-15.12532915
2256,42.8481098,-16.54938622,-4.606408768
2257,17.62436197,40.65338052,27.38775716
2258,82.52519266,-6.160680192,57.98585532
2259,-23.80276526,6.784316593,13.18129063
2260,-4.104682719,17.32766351,-56.86147263
