,Solo,Sensitive,Naive,Adjust
622,4.5,1.5,18.0,11.5
623,8.0,10.25,61.25,3.75
624,12.5,1.75,3.0,5.5
625,7.5,2.0,32.0,-6.25
626,0.5,-5.0,33.75,-0.25
627,4.75,15.0,24.5,4.25
628,2.75,12.0,25.75,-0.25
629,2.75,-1.5,44.25,1.75
630,-0.25,11.25,30.25,5.75
631,1.25,1.25,33.5,-0.75
632,-5.0,1.75,10.5,9.25
633,6.5,-1.0,-2.25,2.25
634,5.5,3.75,7.5,-1.25
635,-0.75,1.5,7.5,3.25
636,-0.75,0.0,32.75,8.25
637,6.75,-3.25,30.0,6.75
638,7.0,-2.5,53.75,5.75
639,-2.5,18.5,0.5,5.5
640,-1.5,3.25,54.5,-2.75
641,7.25,-1.25,18.0,3.0
642,-1.75,-2.0,5.25,5.75
643,2.25,1.5,2.75,0.75
644,-0.25,-9.5,40.0,-10.5
645,-1.5,12.75,22.75,4.75
646,2.75,-0.5,60.75,7.25
647,2.25,7.5,32.25,0.75
648,2.25,13.75,2.5,6.25
649,0.75,2.5,-0.5,18.0
650,7.25,6.5,70.25,-5.5
651,12.5,4.25,26.0,-1.25
652,8.5,12.25,30.5,6.25
653,9.25,7.75,32.75,-8.0
654,10.0,-1.75,30.5,7.5
655,-1.0,9.5,35.25,4.75
656,5.25,14.75,18.0,11.25
657,-3.75,-0.25,2.75,7.5
658,-0.75,2.5,2.25,3.5
659,0.75,1.5,11.25,2.75
660,3.0,2.5,46.25,5.5
661,-6.25,7.0,21.25,-0.25
662,1.5,16.0,-0.75,-0.5
663,2.25,5.75,-6.5,-7.0
664,7.75,-1.75,26.75,-5.75
665,-3.25,4.0,-5.25,10.75
666,-2.25,8.25,5.75,-1.25
667,2.75,3.25,0.75,4.75
668,6.25,12.25,34.25,13.5
669,8.0,3.5,35.5,-3.0
670,3.5,8.0,14.5,-5.75
671,3.25,5.5,-6.75,8.25
672,0.5,4.25,3.0,7.5
673,-1.75,7.25,1.25,10.75
674,8.0,3.25,14.75,2.0
675,7.75,0.75,26.25,13.75
676,3.0,0.5,36.0,2.0
677,6.25,-0.25,42.0,1.0
678,1.0,4.75,41.0,2.5
679,-2.75,5.75,11.0,7.0
680,6.25,7.75,-2.75,5.25
681,5.75,7.25,57.0,-3.25
682,-3.75,8.5,20.75,-0.25
683,10.5,4.75,9.25,9.5
684,0.25,4.0,9.75,-0.75
685,6.0,12.25,7.75,6.25
686,4.5,9.25,66.0,3.25
687,-4.0,5.25,22.75,4.75
688,11.75,5.5,7.25,1.25
689,-2.25,8.5,7.5,9.25
690,-1.25,-0.75,1.75,5.0
691,2.25,7.0,27.5,-4.5
692,2.0,4.5,37.75,6.5
693,-5.5,5.0,3.0,11.0
694,-7.5,6.25,3.75,-5.5
695,-0.5,11.75,-1.5,1.5
696,2.25,8.75,52.75,12.25
697,3.0,1.0,23.75,2.5
698,11.0,2.25,-1.75,6.75
699,0.5,5.75,5.5,5.0
700,-3.25,-7.0,6.5,-3.25
701,4.75,15.25,26.75,9.75
702,4.5,0.75,56.5,-0.5
703,1.0,7.0,20.75,7.5
704,14.5,5.25,4.25,2.75
705,12.25,9.25,-6.0,16.5
706,3.5,6.75,32.0,-3.75
707,7.5,9.25,53.25,1.0
708,6.75,-7.75,42.25,6.5
709,1.75,5.0,35.75,-1.0
710,5.75,7.75,23.25,0.75
711,-0.5,-0.5,41.5,1.25
712,4.0,3.5,37.75,9.75
713,8.25,-4.5,11.75,2.75
714,12.75,4.25,35.0,1.0
715,1.25,-4.0,30.75,5.25
716,2.75,-5.25,15.5,4.0
717,3.0,12.25,41.25,4.75
718,9.75,9.5,21.75,-1.5
719,10.0,14.5,38.5,-7.75
720,8.25,2.0,0.0,0.25
721,3.25,5.75,12.75,3.0
722,4.5,3.5,8.0,9.75
723,-0.25,4.5,9.5,-1.75
724,5.5,0.75,9.75,3.25
725,7.5,-4.5,10.25,5.75
726,-3.25,-2.75,13.5,0.25
727,5.25,10.75,37.75,2.25
728,7.75,6.75,52.5,2.25
729,1.25,9.75,21.25,7.0
730,4.0,3.5,19.25,-0.5
731,0.75,9.0,6.25,6.75
732,2.0,8.25,4.75,4.0
733,1.25,5.5,25.75,3.0
734,3.25,-1.0,23.25,5.0
735,3.25,6.0,15.75,12.5
736,5.75,11.5,42.75,6.25
737,13.75,1.0,25.5,-0.75
738,-7.0,7.0,41.75,4.0
739,1.0,7.25,22.25,5.0
740,3.25,2.75,5.0,8.25
