,TS,EG,EF,ED,
184,25.76950808,23.17776608,9.608363743,-1.38590189,
185,-32.14843975,-5.823873231,25.49547459,5.250862818,
186,6.90410655,11.12994546,0.730867991,-4.252170937,
187,-13.50452541,12.06929531,-5.660939597,7.205603045,
188,-4.455691784,-7.805617755,24.50353673,33.42994242,
189,-4.676461464,2.474613359,33.06935194,-5.105006341,
190,10.38905669,-7.581874137,37.68480351,-14.50220976,
191,36.04521983,-9.441611124,-13.05422177,33.24849194,
192,-1.465342735,-10.57290661,5.541870755,3.997448448,
193,-18.87696191,-19.23295845,-0.56648522,-2.039105376,
194,39.78175682,38.68044918,-5.940884869,51.61448927,
195,26.30729997,-4.803622816,3.332410633,-15.1527071,
196,14.87307559,29.20556709,-37.69537636,-40.18599965,
197,21.99993289,9.351500448,8.5896617,14.78084835,
198,-21.56676395,-37.01176513,-1.061450884,-12.87394366,
199,28.22361235,-36.2314716,-3.498224894,15.06176506,
200,47.186678,-16.57927604,-46.69237812,18.81661643,
201,17.78104324,-7.495113371,31.90495486,6.541331953,
202,-11.61980529,18.81661643,-3.140563728,16.33770138,
203,62.2169512,53.70584387,-11.14513243,-29.37550328,
